Date,Restaurant,num_fish,num_chicken,num_vegetarian,num_meat,pcs_Not Mapped,num_vegan,carbon_emissions_sum
2023-02-06,600 Chemicum,87.0,0.0,0.0,559.0,0.0,291.0,561.17
2023-02-06,610 Physicum,6.0,25.0,65.0,38.0,0.0,41.0,136.23
2023-02-06,620 Exactum,109.0,0.0,76.0,0.0,0.0,210.0,233.89
2023-02-07,600 Chemicum,358.0,0.0,0.0,26.0,0.0,535.0,563.25
2023-02-07,610 Physicum,0.0,61.0,49.0,40.0,0.0,45.0,144.36
2023-02-07,620 Exactum,135.0,0.0,21.0,0.0,0.0,166.0,162.74
2023-02-08,600 Chemicum,435.0,75.0,0.0,1.0,0.0,355.0,471.96
2023-02-08,610 Physicum,3.0,75.0,57.0,23.0,0.0,36.0,152.03
2023-02-08,620 Exactum,46.0,1.0,0.0,175.0,0.0,152.0,293.21
2023-02-09,600 Chemicum,397.0,246.0,0.0,10.0,0.0,263.0,520.62
2023-02-09,610 Physicum,9.0,54.0,52.0,23.0,0.0,43.0,137.49
2023-02-09,620 Exactum,0.0,6.0,26.0,19.0,0.0,125.0,98.51
2023-02-10,600 Chemicum,219.0,350.0,0.0,0.0,0.0,225.0,498.46
2023-02-10,610 Physicum,19.0,31.0,43.0,17.0,0.0,35.0,110.89
2023-02-10,620 Exactum,17.0,5.0,0.0,0.0,0.0,119.0,63.39
2023-02-13,600 Chemicum,239.0,65.0,0.0,339.0,0.0,252.0,724.31
2023-02-13,610 Physicum,6.0,70.0,38.0,18.0,0.0,32.0,122.98
2023-02-13,620 Exactum,79.0,96.0,0.0,0.0,0.0,215.0,248.46
2023-02-14,600 Chemicum,228.0,0.0,0.0,102.0,0.0,468.0,473.55
2023-02-14,610 Physicum,7.0,59.0,49.0,19.0,0.0,30.0,133.99
2023-02-14,620 Exactum,106.0,31.0,2.0,0.0,0.0,227.0,201.45
2023-02-15,600 Chemicum,128.0,313.0,0.0,14.0,0.0,500.0,561.92
2023-02-15,610 Physicum,24.0,51.0,45.0,19.0,0.0,26.0,129.32
2023-02-15,620 Exactum,17.0,2.0,0.0,106.0,0.0,179.0,178.95
2023-02-16,600 Chemicum,311.0,116.0,0.0,95.0,0.0,363.0,559.3
2023-02-16,610 Physicum,11.0,61.0,50.0,35.0,0.0,39.0,147.51
2023-02-16,620 Exactum,38.0,103.0,0.0,12.0,0.0,145.0,144.44
2023-02-17,600 Chemicum,182.0,33.0,0.0,272.0,0.0,345.0,540.18
2023-02-17,610 Physicum,10.0,54.0,34.0,12.0,0.0,25.0,103.38
2023-02-17,620 Exactum,83.0,1.0,0.0,27.0,0.0,98.0,119.57
2023-02-20,600 Chemicum,179.0,0.0,0.0,368.0,0.0,337.0,620.73
2023-02-20,610 Physicum,18.0,53.0,35.0,14.0,0.0,35.0,118.09
2023-02-20,620 Exactum,13.0,160.0,0.0,0.0,0.0,146.0,170.65
2023-02-21,600 Chemicum,326.0,0.0,0.0,94.0,0.0,293.0,497.94
2023-02-21,610 Physicum,10.0,44.0,38.0,35.0,0.0,21.0,118.13
2023-02-21,620 Exactum,76.0,18.0,1.0,0.0,0.0,53.0,78.02
2023-02-22,600 Chemicum,168.0,369.0,0.0,23.0,0.0,162.0,435.61
2023-02-22,610 Physicum,26.0,57.0,48.0,12.0,0.0,33.0,138.2
2023-02-22,620 Exactum,28.0,107.0,0.0,0.0,0.0,3.0,80.62
2023-02-23,600 Chemicum,271.0,187.0,0.0,7.0,0.0,301.0,452.84
2023-02-23,610 Physicum,7.0,65.0,59.0,6.0,0.0,37.0,134.8
2023-02-23,620 Exactum,194.0,0.0,30.0,0.0,0.0,139.0,262.92
2023-02-24,600 Chemicum,134.0,266.0,0.0,0.0,0.0,215.0,320.72
2023-02-24,610 Physicum,0.0,46.0,38.0,13.0,0.0,33.0,95.74
2023-02-24,620 Exactum,50.0,66.0,0.0,0.0,0.0,124.0,127.52
2023-02-27,600 Chemicum,202.0,13.0,0.0,405.0,0.0,310.0,603.51
2023-02-27,610 Physicum,0.0,43.0,44.0,13.0,0.0,38.0,103.14
2023-02-27,620 Exactum,160.0,0.0,0.0,0.0,0.0,139.0,174.67
2023-02-28,600 Chemicum,373.0,0.0,0.0,8.0,0.0,466.0,402.82
2023-02-28,610 Physicum,0.0,61.0,40.0,33.0,0.0,27.0,126.18
2023-02-28,620 Exactum,197.0,0.0,16.0,0.0,0.0,93.0,251.62
2023-03-01,600 Chemicum,288.0,192.0,0.0,0.0,0.0,268.0,540.65
2023-03-01,610 Physicum,4.0,37.0,44.0,23.0,0.0,26.0,107.84
2023-03-01,620 Exactum,14.0,0.0,0.0,113.0,0.0,114.0,158.66
2023-03-02,600 Chemicum,108.0,397.0,0.0,4.0,0.0,200.0,460.99
2023-03-02,610 Physicum,24.0,34.0,46.0,16.0,0.0,26.0,113.78
2023-03-02,620 Exactum,0.0,0.0,21.0,120.0,0.0,99.0,162.66
2023-03-03,600 Chemicum,158.0,55.0,0.0,199.0,0.0,215.0,437.05
2023-03-03,610 Physicum,4.0,37.0,23.0,6.0,0.0,20.0,67.29
2023-03-03,620 Exactum,0.0,78.0,0.0,16.0,0.0,121.0,144.07
2023-03-06,600 Chemicum,168.0,0.0,0.0,399.0,0.0,249.0,474.48
2023-03-06,610 Physicum,1.0,34.0,25.0,7.0,0.0,19.0,65.01
2023-03-06,620 Exactum,44.0,1.0,0.0,81.0,0.0,120.0,150.94
2023-03-07,600 Chemicum,309.0,0.0,0.0,24.0,0.0,413.0,459.62
2023-03-07,610 Physicum,4.0,40.0,23.0,9.0,0.0,20.0,74.82
2023-03-07,620 Exactum,16.0,110.0,16.0,16.0,0.0,62.0,203.7
2023-03-08,600 Chemicum,105.0,296.0,0.0,0.0,0.0,350.0,377.71
2023-03-08,610 Physicum,15.0,32.0,14.0,7.0,0.0,22.0,70.46
2023-03-08,620 Exactum,98.0,42.0,0.0,0.0,0.0,107.0,148.26
2023-03-09,600 Chemicum,119.0,360.0,0.0,0.0,0.0,235.0,608.48
2023-03-09,610 Physicum,16.0,21.0,23.0,8.0,0.0,25.0,70.27
2023-03-09,620 Exactum,91.0,0.0,0.0,0.0,0.0,84.0,83.31
2023-03-10,600 Chemicum,258.0,217.0,0.0,0.0,0.0,172.0,405.76
2023-03-10,610 Physicum,12.0,4.0,27.0,23.0,0.0,21.0,65.79
2023-03-10,620 Exactum,15.0,107.0,0.0,0.0,0.0,114.0,129.66
2023-03-13,600 Chemicum,130.0,35.0,0.0,427.0,0.0,353.0,757.56
2023-03-13,610 Physicum,7.0,37.0,49.0,40.0,0.0,30.0,121.69
2023-03-13,620 Exactum,163.0,0.0,0.0,0.0,0.0,118.0,179.2
2023-03-14,600 Chemicum,376.0,0.0,176.0,26.0,0.0,290.0,671.01
2023-03-14,610 Physicum,9.0,66.0,49.0,16.0,0.0,38.0,136.41
2023-03-14,620 Exactum,6.0,0.0,31.0,151.0,0.0,210.0,207.56
2023-03-15,600 Chemicum,27.0,306.0,43.0,0.0,0.0,262.0,382.23
2023-03-15,610 Physicum,3.0,56.0,65.0,24.0,0.0,43.0,149.16
2023-03-15,620 Exactum,104.0,2.0,0.0,25.0,0.0,125.0,133.89
2023-03-16,600 Chemicum,310.0,10.0,0.0,194.0,0.0,240.0,494.44
2023-03-16,610 Physicum,12.0,73.0,40.0,1.0,0.0,41.0,124.23
2023-03-16,620 Exactum,13.0,179.0,52.0,0.0,0.0,102.0,347.04
2023-03-17,600 Chemicum,132.0,0.0,0.0,342.0,0.0,286.0,522.84
2023-03-17,610 Physicum,7.0,45.0,27.0,1.0,0.0,24.0,78.06
2023-03-17,620 Exactum,0.0,2.0,4.0,0.0,0.0,145.0,67.58
2023-03-20,600 Chemicum,79.0,0.0,1.0,546.0,0.0,271.0,533.32
2023-03-20,610 Physicum,12.0,47.0,58.0,13.0,0.0,35.0,131.09
2023-03-20,620 Exactum,74.0,14.0,0.0,0.0,0.0,234.0,160.89
2023-03-21,600 Chemicum,308.0,0.0,0.0,24.0,0.0,544.0,441.25
2023-03-21,610 Physicum,21.0,57.0,43.0,24.0,0.0,49.0,148.67
2023-03-21,620 Exactum,155.0,0.0,82.0,0.0,0.0,85.0,221.41
2023-03-22,600 Chemicum,174.0,350.0,0.0,0.0,0.0,297.0,424.22
2023-03-22,610 Physicum,25.0,52.0,50.0,30.0,0.0,44.0,162.87
2023-03-22,620 Exactum,85.0,0.0,0.0,143.0,0.0,123.0,256.53
2023-03-23,600 Chemicum,406.0,161.0,0.0,3.0,0.0,288.0,460.79
2023-03-23,610 Physicum,29.0,36.0,48.0,22.0,0.0,51.0,145.8
2023-03-23,620 Exactum,4.0,0.0,24.0,7.0,0.0,119.0,78.81
2023-03-24,600 Chemicum,445.0,0.0,0.0,0.0,0.0,366.0,469.57
2023-03-24,610 Physicum,0.0,0.0,58.0,0.0,0.0,24.0,66.05
2023-03-24,620 Exactum,6.0,0.0,0.0,0.0,0.0,128.0,68.98
2023-03-27,600 Chemicum,204.0,0.0,0.0,313.0,0.0,271.0,555.4
2023-03-27,610 Physicum,0.0,74.0,23.0,13.0,0.0,40.0,109.47
2023-03-27,620 Exactum,38.0,103.0,0.0,0.0,0.0,116.0,152.72
2023-03-28,600 Chemicum,267.0,0.0,1.0,74.0,0.0,548.0,521.62
2023-03-28,610 Physicum,0.0,73.0,49.0,39.0,0.0,32.0,156.9
2023-03-28,620 Exactum,1.0,0.0,0.0,0.0,0.0,198.0,86.03
2023-03-29,600 Chemicum,108.0,389.0,0.0,8.0,0.0,323.0,528.55
2023-03-29,610 Physicum,0.0,65.0,48.0,33.0,0.0,54.0,154.64
2023-03-29,620 Exactum,0.0,4.0,0.0,127.0,0.0,133.0,176.96
2023-03-30,600 Chemicum,429.0,102.0,0.0,4.0,0.0,310.0,408.28
2023-03-30,610 Physicum,40.0,40.0,41.0,33.0,0.0,49.0,156.93
2023-03-30,620 Exactum,0.0,135.0,25.0,39.0,0.0,131.0,204.61
2023-03-31,600 Chemicum,218.0,7.0,0.0,273.0,0.0,275.0,521.65
2023-03-31,610 Physicum,8.0,38.0,25.0,14.0,0.0,20.0,81.55
2023-03-31,620 Exactum,73.0,0.0,0.0,0.0,0.0,183.0,111.94
2023-04-03,600 Chemicum,165.0,26.0,22.0,75.0,0.0,283.0,348.17
2023-04-03,610 Physicum,10.0,39.0,34.0,32.0,0.0,24.0,105.88
2023-04-03,620 Exactum,20.0,143.0,0.0,0.0,0.0,130.0,165.83
2023-04-04,600 Chemicum,12.0,0.0,0.0,1.0,0.0,469.0,283.03
2023-04-04,610 Physicum,0.0,53.0,50.0,32.0,0.0,45.0,141.06
2023-04-04,620 Exactum,0.0,55.0,0.0,2.0,0.0,134.0,143.56
2023-04-05,600 Chemicum,119.0,390.0,0.0,5.0,0.0,189.0,424.16
2023-04-05,610 Physicum,6.0,62.0,26.0,23.0,0.0,39.0,118.15
2023-04-05,620 Exactum,138.0,0.0,40.0,0.0,0.0,101.0,208.03
2023-04-06,600 Chemicum,227.0,166.0,0.0,36.0,0.0,254.0,447.29
2023-04-06,610 Physicum,1.0,21.0,9.0,7.0,0.0,12.0,38.97
2023-04-11,600 Chemicum,204.0,0.0,0.0,0.0,0.0,392.0,282.66
2023-04-11,610 Physicum,2.0,11.0,32.0,11.0,0.0,10.0,54.01
2023-04-11,620 Exactum,0.0,0.0,16.0,75.0,0.0,75.0,132.93
2023-04-12,600 Chemicum,205.0,191.0,0.0,0.0,0.0,216.0,370.92
2023-04-12,610 Physicum,4.0,11.0,24.0,12.0,0.0,19.0,52.3
2023-04-12,620 Exactum,67.0,0.0,0.0,51.0,0.0,75.0,140.08
2023-04-13,600 Chemicum,110.0,412.0,0.0,0.0,0.0,248.0,494.18
2023-04-13,610 Physicum,8.0,44.0,47.0,20.0,0.0,26.0,120.96
2023-04-13,620 Exactum,0.0,5.0,6.0,0.0,0.0,109.0,53.7
2023-04-14,600 Chemicum,189.0,15.0,0.0,236.0,0.0,249.0,467.61
2023-04-14,610 Physicum,0.0,19.0,25.0,14.0,0.0,20.0,61.0
2023-04-14,620 Exactum,39.0,62.0,1.0,0.0,0.0,166.0,142.97
2023-04-17,600 Chemicum,151.0,0.0,0.0,525.0,0.0,211.0,573.24
2023-04-17,610 Physicum,18.0,44.0,59.0,23.0,0.0,22.0,138.03
2023-04-17,620 Exactum,76.0,17.0,0.0,0.0,0.0,237.0,150.03
2023-04-18,600 Chemicum,327.0,0.0,0.0,0.0,0.0,465.0,493.46
2023-04-18,610 Physicum,14.0,58.0,37.0,40.0,0.0,34.0,140.42
2023-04-18,620 Exactum,15.0,152.0,15.0,0.0,0.0,193.0,275.63
2023-04-19,600 Chemicum,190.0,353.0,0.0,0.0,0.0,312.0,438.05
2023-04-19,610 Physicum,14.0,37.0,39.0,38.0,0.0,46.0,135.29
2023-04-19,620 Exactum,67.0,1.0,11.0,4.0,0.0,96.0,88.49
2023-04-20,600 Chemicum,99.0,387.0,0.0,0.0,0.0,359.0,726.67
2023-04-20,610 Physicum,0.0,63.0,40.0,22.0,0.0,35.0,118.95
2023-04-20,620 Exactum,1.0,118.0,12.0,0.0,0.0,147.0,177.28
2023-04-21,600 Chemicum,263.0,227.0,0.0,0.0,0.0,275.0,468.34
2023-04-21,610 Physicum,1.0,22.0,39.0,14.0,0.0,16.0,75.92
2023-04-21,620 Exactum,85.0,0.0,0.0,0.0,0.0,113.0,143.12
2023-04-24,600 Chemicum,183.0,108.0,0.0,339.0,0.0,345.0,709.4
2023-04-24,610 Physicum,19.0,45.0,42.0,24.0,0.0,26.0,121.41
2023-04-24,620 Exactum,147.0,0.0,90.0,0.0,0.0,54.0,227.58
2023-04-25,600 Chemicum,389.0,0.0,0.0,90.0,0.0,415.0,699.05
2023-04-25,610 Physicum,21.0,37.0,54.0,12.0,0.0,41.0,131.56
2023-04-25,620 Exactum,21.0,0.0,21.0,122.0,0.0,116.0,143.75
2023-04-26,600 Chemicum,6.0,373.0,0.0,0.0,0.0,250.0,368.99
2023-04-26,610 Physicum,6.0,63.0,37.0,15.0,0.0,36.0,119.48
2023-04-26,620 Exactum,57.0,110.0,0.0,15.0,0.0,91.0,145.21
2023-04-27,600 Chemicum,321.0,34.0,0.0,209.0,0.0,178.0,497.07
2023-04-27,610 Physicum,6.0,67.0,37.0,22.0,0.0,20.0,118.71
2023-04-27,620 Exactum,35.0,140.0,11.0,0.0,0.0,128.0,274.03
2023-04-28,600 Chemicum,199.0,75.0,0.0,258.0,0.0,370.0,667.77
2023-04-28,610 Physicum,6.0,22.0,32.0,20.0,0.0,28.0,79.83
2023-04-28,620 Exactum,0.0,24.0,0.0,0.0,0.0,142.0,95.32
2023-05-02,600 Chemicum,0.0,0.0,0.0,512.0,0.0,402.0,548.7
